col,time_len,lan_type,model_name,training_time
totalDamageDone,30,Mixed,XGB,0.001793509998242317
totalDamageDone,30,Mixed,knn,0.002295467003132167
totalDamageTaken,5,Exponential,LR,0.002613805999862911
totalDamageTaken,5,Exponential,RF,0.010673861004179296
totalDamageTaken,5,Exponential,SVC,0.002930967001011547
totalDamageTaken,5,Exponential,XGB,0.003112227000528895
totalDamageTaken,5,Exponential,knn,0.003486713998136065
totalDamageTaken,5,Linear,LR,0.000974822998396074
totalDamageTaken,5,Linear,RF,0.007785511003457898
totalDamageTaken,5,Linear,SVC,0.0013440370012539802
totalDamageTaken,5,Linear,XGB,0.001393472003983284
totalDamageTaken,5,Linear,knn,0.0018967350007732839
totalDamageTaken,5,Mixed,LR,0.001369918996933797
totalDamageTaken,5,Mixed,RF,0.007591145000187636
totalDamageTaken,5,Mixed,SVC,0.001884630001150022
totalDamageTaken,5,Mixed,XGB,0.0018053470016456618
totalDamageTaken,5,Mixed,knn,0.0022618819976923522
totalDamageTaken,10,Exponential,LR,0.002582615998689966
totalDamageTaken,10,Exponential,RF,0.0093834179983241
totalDamageTaken,10,Exponential,SVC,0.002913536999258161
totalDamageTaken,10,Exponential,XGB,0.0030758680019061517
totalDamageTaken,10,Exponential,knn,0.0034835670021129274
totalDamageTaken,10,Linear,LR,0.000980016000103151
totalDamageTaken,10,Linear,RF,0.007637082001892797
totalDamageTaken,10,Linear,SVC,0.001234451001509976
totalDamageTaken,10,Linear,XGB,0.001398157000658054
totalDamageTaken,10,Linear,knn,0.001836630998877751
totalDamageTaken,10,Mixed,LR,0.001368482001125767
totalDamageTaken,10,Mixed,RF,0.008155662997160057
totalDamageTaken,10,Mixed,SVC,0.001716419003787398
totalDamageTaken,10,Mixed,XGB,0.001809437998454035
totalDamageTaken,10,Mixed,knn,0.002268024996737901
totalDamageTaken,15,Exponential,LR,0.0025900570029625198
totalDamageTaken,15,Exponential,RF,0.009596682002884292
totalDamageTaken,15,Exponential,SVC,0.002829459001659363
totalDamageTaken,15,Exponential,XGB,0.003068232996738468
totalDamageTaken,15,Exponential,knn,0.003424279001774214
totalDamageTaken,15,Linear,LR,0.00096586299885525
totalDamageTaken,15,Linear,RF,0.008589810000266832
totalDamageTaken,15,Linear,SVC,0.0011411740002221869
totalDamageTaken,15,Linear,XGB,0.001393714000587299
totalDamageTaken,15,Linear,knn,0.00183766299800477
totalDamageTaken,15,Mixed,LR,0.001412518996512466
totalDamageTaken,15,Mixed,RF,0.008896351000876115
totalDamageTaken,15,Mixed,SVC,0.001610888999421106
totalDamageTaken,15,Mixed,XGB,0.0018066399934468292
totalDamageTaken,15,Mixed,knn,0.00225620099925431
totalDamageTaken,20,Exponential,LR,0.002533559005823865
totalDamageTaken,20,Exponential,RF,0.009638020004495
totalDamageTaken,20,Exponential,SVC,0.0027425199985736492
totalDamageTaken,20,Exponential,XGB,0.0030525230016791687
totalDamageTaken,20,Exponential,knn,0.0034728710021590297
totalDamageTaken,20,Linear,LR,0.000997540001990223
totalDamageTaken,20,Linear,RF,0.008227376999566285
totalDamageTaken,20,Linear,SVC,0.001205221000127447
totalDamageTaken,20,Linear,XGB,0.0013668259960831542
totalDamageTaken,20,Linear,knn,0.001820329001638989
totalDamageTaken,20,Mixed,LR,0.001342817998374762
totalDamageTaken,20,Mixed,RF,0.006954241001512806
totalDamageTaken,20,Mixed,SVC,0.00156453400442837
totalDamageTaken,20,Mixed,XGB,0.001780199995846436
totalDamageTaken,20,Mixed,knn,0.002276411995408076
totalDamageTaken,25,Exponential,LR,0.002563721001497417
totalDamageTaken,25,Exponential,RF,0.008820426999009166
totalDamageTaken,25,Exponential,SVC,0.00277730500150933
totalDamageTaken,25,Exponential,XGB,0.0031071720027829957
totalDamageTaken,25,Exponential,knn,0.003457185997976868
totalDamageTaken,25,Linear,LR,0.000976501998957195
totalDamageTaken,25,Linear,RF,0.00881570999685204
totalDamageTaken,25,Linear,SVC,0.0011614690010900998
totalDamageTaken,25,Linear,XGB,0.001368694001575882
totalDamageTaken,25,Linear,knn,0.001845466996892304
totalDamageTaken,25,Mixed,LR,0.001413975998875634
totalDamageTaken,25,Mixed,RF,0.006481542004039465
totalDamageTaken,25,Mixed,SVC,0.001591192000778342
totalDamageTaken,25,Mixed,XGB,0.001803263999754516
totalDamageTaken,25,Mixed,knn,0.002242361000971817
totalDamageTaken,30,Exponential,LR,0.002627367997774803
totalDamageTaken,30,Exponential,RF,0.009154418000252868
totalDamageTaken,30,Exponential,SVC,0.002703697000397316
totalDamageTaken,30,Exponential,XGB,0.003093798998743248
totalDamageTaken,30,Exponential,knn,0.003424359004129604
totalDamageTaken,30,Linear,LR,0.0009819879982387119
totalDamageTaken,30,Linear,RF,0.008149873003130729
totalDamageTaken,30,Linear,SVC,0.001099267999525131
totalDamageTaken,30,Linear,XGB,0.0013898280006832862
totalDamageTaken,30,Linear,knn,0.001815402996726283
totalDamageTaken,30,Mixed,LR,0.001378535999101533
totalDamageTaken,30,Mixed,RF,0.008597901000175578
totalDamageTaken,30,Mixed,SVC,0.001531147998757608
totalDamageTaken,30,Mixed,XGB,0.001801728000282255
totalDamageTaken,30,Mixed,knn,0.002240968003752591
totalGold,5,Exponential,LR,0.002636707996134596
totalGold,5,Exponential,RF,0.00988791900104838
totalGold,5,Exponential,SVC,0.00303235900239083
totalGold,5,Exponential,XGB,0.003068709000945042
totalGold,5,Exponential,knn,0.003452139997971197
totalGold,5,Linear,LR,0.00099683599837585
totalGold,5,Linear,RF,0.00916845899715549
totalGold,5,Linear,SVC,0.00127511299855537
totalGold,5,Linear,XGB,0.0014036770025267669
totalGold,5,Linear,knn,0.0017907019978155839
totalGold,5,Mixed,LR,0.001412137000588648
totalGold,5,Mixed,RF,0.008903565002256033
totalGold,5,Mixed,SVC,0.0017789829941465929
totalGold,5,Mixed,XGB,0.0018254329997579991
totalGold,5,Mixed,knn,0.002232114998623678
totalGold,10,Exponential,LR,0.0026623130025108773
totalGold,10,Exponential,RF,0.009531923003960347
totalGold,10,Exponential,SVC,0.002885629003285384
totalGold,10,Exponential,XGB,0.003093193998211013
totalGold,10,Exponential,knn,0.003424876001663456
totalGold,10,Linear,LR,0.000959374997182698
totalGold,10,Linear,RF,0.008777735001058268
totalGold,10,Linear,SVC,0.001176908997585947
totalGold,10,Linear,XGB,0.001402336001628958
totalGold,10,Linear,knn,0.001863910998799794
totalGold,10,Mixed,LR,0.001383155997609675
totalGold,10,Mixed,RF,0.006901318001327988
totalGold,10,Mixed,SVC,0.001566342997830314
totalGold,10,Mixed,XGB,0.001827609999454529
totalGold,10,Mixed,knn,0.002206721000256896
totalGold,15,Exponential,LR,0.002558507000212511
totalGold,15,Exponential,RF,0.008828581997076928
totalGold,15,Exponential,SVC,0.002887969999574077
totalGold,15,Exponential,XGB,0.003063021001289543
totalGold,15,Exponential,knn,0.003431580003234505
totalGold,15,Linear,LR,0.0009978029999182971
totalGold,15,Linear,RF,0.007265670996857754
totalGold,15,Linear,SVC,0.001125721000134892
totalGold,15,Linear,XGB,0.001413063002983056
totalGold,15,Linear,knn,0.001815510003361795
totalGold,15,Mixed,LR,0.0013972240034490291
totalGold,15,Mixed,RF,0.008714579999796065
totalGold,15,Mixed,SVC,0.0015152450004824892
totalGold,15,Mixed,XGB,0.001843422001693342
totalGold,15,Mixed,knn,0.002167131997412024
totalGold,20,Exponential,LR,0.002582043998409016
totalGold,20,Exponential,RF,0.00967094199731941
totalGold,20,Exponential,SVC,0.002832510999869505
totalGold,20,Exponential,XGB,0.00305039599828883
totalGold,20,Exponential,knn,0.00343364400090645
totalGold,20,Linear,LR,0.000973488994641184
totalGold,20,Linear,RF,0.008806983000249548
totalGold,20,Linear,SVC,0.00111758100043512
totalGold,20,Linear,XGB,0.00138694899855176
totalGold,20,Linear,knn,0.0018437530001392099
totalGold,20,Mixed,LR,0.0014093959977617048
totalGold,20,Mixed,RF,0.008554100999026508
totalGold,20,Mixed,SVC,0.001467941004666452
totalGold,20,Mixed,XGB,0.001821574998903037
totalGold,20,Mixed,knn,0.002199546998599493
totalGold,25,Exponential,LR,0.002656383996363678
totalGold,25,Exponential,RF,0.011233469002763695
totalGold,25,Exponential,SVC,0.002702678000787222
totalGold,25,Exponential,XGB,0.0031027280021225564
totalGold,25,Exponential,knn,0.003492148001096162
totalGold,25,Linear,LR,0.000966992001631247
totalGold,25,Linear,RF,0.007343601000611617
totalGold,25,Linear,SVC,0.001070467001409217
totalGold,25,Linear,XGB,0.001400362004060248
totalGold,25,Linear,knn,0.001841619003098404
totalGold,25,Mixed,LR,0.001389610999613012
totalGold,25,Mixed,RF,0.007978025998454492
