tier,20,25,30
IR,7914,6228,3896
BR,7978,6374,3852
SV,8026,6420,3724
GD,7970,6188,3506
PT,7976,6100,3282
EM,7878,5850,3008
DM,7618,5174,2462
MS,6834,4524,2048
GM,6678,3964,1632
CH,6626,3968,1534
