tier,time_len,col,lan_type,model_name,match_id,training_time
CHALLENGER,5,4col,Linear,knn,KR_6720411617,0.004488300008233637
CHALLENGER,5,4col,Linear,knn,KR_6720369775,0.004523200041148812
CHALLENGER,5,4col,Linear,knn,KR_6720275332,0.004482299962546676
CHALLENGER,5,4col,Linear,knn,KR_6720216348,0.0044649000046774745
CHALLENGER,5,4col,Linear,knn,KR_6719124350,0.004554699989967048
CHALLENGER,5,4col,Linear,knn,KR_6719076193,0.0044172999914735556
CHALLENGER,5,4col,Linear,knn,KR_6719025407,0.004502399999182671
CHALLENGER,5,4col,Linear,knn,KR_6718989642,0.004450200009159744
CHALLENGER,5,4col,Linear,knn,KR_6718952462,0.004598199971951544
CHALLENGER,5,4col,Linear,knn,KR_6718915047,0.004560700035654008
CHALLENGER,5,4col,Linear,LR,KR_6720411617,0.0032852000440470874
CHALLENGER,5,4col,Linear,LR,KR_6720369775,0.0016681000124663115
CHALLENGER,5,4col,Linear,LR,KR_6720275332,0.0032822000212036073
CHALLENGER,5,4col,Linear,LR,KR_6720216348,0.00361660000635311
CHALLENGER,5,4col,Linear,LR,KR_6719124350,0.0033081999863497913
CHALLENGER,5,4col,Linear,LR,KR_6719076193,0.0033013999927788973
CHALLENGER,5,4col,Linear,LR,KR_6719025407,0.003889499988872558
CHALLENGER,5,4col,Linear,LR,KR_6718989642,0.003308200044557452
CHALLENGER,5,4col,Linear,LR,KR_6718952462,0.003301299992017448
CHALLENGER,5,4col,Linear,LR,KR_6718915047,0.003312000015284866
CHALLENGER,5,4col,Linear,RF,KR_6720411617,0.013431900006253272
CHALLENGER,5,4col,Linear,RF,KR_6720369775,0.013723200012464076
CHALLENGER,5,4col,Linear,RF,KR_6720275332,0.013086199993267655
CHALLENGER,5,4col,Linear,RF,KR_6720216348,0.013644599996041507
CHALLENGER,5,4col,Linear,RF,KR_6719124350,0.013114299974404275
CHALLENGER,5,4col,Linear,RF,KR_6719076193,0.013298999983817339
CHALLENGER,5,4col,Linear,RF,KR_6719025407,0.013385500002186745
CHALLENGER,5,4col,Linear,RF,KR_6718989642,0.013092600042000413
CHALLENGER,5,4col,Linear,RF,KR_6718952462,0.013339700002688915
CHALLENGER,5,4col,Linear,RF,KR_6718915047,0.013193499995395541
CHALLENGER,5,4col,Linear,SVC,KR_6720411617,0.003667999990284443
CHALLENGER,5,4col,Linear,SVC,KR_6720369775,0.004252700018696487
CHALLENGER,5,4col,Linear,SVC,KR_6720275332,0.003630799998063594
CHALLENGER,5,4col,Linear,SVC,KR_6720216348,0.003654100000858307
CHALLENGER,5,4col,Linear,SVC,KR_6719124350,0.003655600012280047
CHALLENGER,5,4col,Linear,SVC,KR_6719076193,0.003664999967440963
CHALLENGER,5,4col,Linear,SVC,KR_6719025407,0.0036420999676920474
CHALLENGER,5,4col,Linear,SVC,KR_6718989642,0.004261900030542165
CHALLENGER,5,4col,Linear,SVC,KR_6718952462,0.0036902999854646623
CHALLENGER,5,4col,Linear,SVC,KR_6718915047,0.003624800010584295
CHALLENGER,5,4col,Linear,XGB,KR_6720411617,0.004437499970663339
CHALLENGER,5,4col,Linear,XGB,KR_6720369775,0.003907700011041015
CHALLENGER,5,4col,Linear,XGB,KR_6720275332,0.0039317000191658735
CHALLENGER,5,4col,Linear,XGB,KR_6720216348,0.0038196000386960804
CHALLENGER,5,4col,Linear,XGB,KR_6719124350,0.0038843999500386417
CHALLENGER,5,4col,Linear,XGB,KR_6719076193,0.004025099973659962
CHALLENGER,5,4col,Linear,XGB,KR_6719025407,0.002189400023780763
CHALLENGER,5,4col,Linear,XGB,KR_6718989642,0.0038763000047765672
CHALLENGER,5,4col,Linear,XGB,KR_6718952462,0.003402800008188933
CHALLENGER,5,4col,Linear,XGB,KR_6718915047,0.0021853999933227897
CHALLENGER,5,4col,Exponential,knn,KR_6720411617,0.012044600036460906
CHALLENGER,5,4col,Exponential,knn,KR_6720369775,0.011742700007744133
CHALLENGER,5,4col,Exponential,knn,KR_6720275332,0.011233099969103932
CHALLENGER,5,4col,Exponential,knn,KR_6720216348,0.011218499974347651
CHALLENGER,5,4col,Exponential,knn,KR_6719124350,0.011816899990662932
CHALLENGER,5,4col,Exponential,knn,KR_6719076193,0.011414500011596829
CHALLENGER,5,4col,Exponential,knn,KR_6719025407,0.011082199984230101
CHALLENGER,5,4col,Exponential,knn,KR_6718989642,0.011368000006768852
CHALLENGER,5,4col,Exponential,knn,KR_6718952462,0.011022299993783236
CHALLENGER,5,4col,Exponential,knn,KR_6718915047,0.011071800021454692
CHALLENGER,5,4col,Exponential,LR,KR_6720411617,0.01023050001822412
CHALLENGER,5,4col,Exponential,LR,KR_6720369775,0.010446399974171072
CHALLENGER,5,4col,Exponential,LR,KR_6720275332,0.009928699990268797
CHALLENGER,5,4col,Exponential,LR,KR_6720216348,0.009930400003213435
CHALLENGER,5,4col,Exponential,LR,KR_6719124350,0.010400300030596554
CHALLENGER,5,4col,Exponential,LR,KR_6719076193,0.010993900010362267
CHALLENGER,5,4col,Exponential,LR,KR_6719025407,0.009113099949900061
CHALLENGER,5,4col,Exponential,LR,KR_6718989642,0.010861099988687783
CHALLENGER,5,4col,Exponential,LR,KR_6718952462,0.009917399962432683
CHALLENGER,5,4col,Exponential,LR,KR_6718915047,0.009824900014791638
CHALLENGER,5,4col,Exponential,RF,KR_6720411617,0.0160842000041157
CHALLENGER,5,4col,Exponential,RF,KR_6720369775,0.015767499979119748
CHALLENGER,5,4col,Exponential,RF,KR_6720275332,0.015257999999448657
CHALLENGER,5,4col,Exponential,RF,KR_6720216348,0.015078799973707646
CHALLENGER,5,4col,Exponential,RF,KR_6719124350,0.01568549999501556
CHALLENGER,5,4col,Exponential,RF,KR_6719076193,0.015579300001263618
CHALLENGER,5,4col,Exponential,RF,KR_6719025407,0.014914800005499274
CHALLENGER,5,4col,Exponential,RF,KR_6718989642,0.016013799991924316
CHALLENGER,5,4col,Exponential,RF,KR_6718952462,0.014787800027988851
CHALLENGER,5,4col,Exponential,RF,KR_6718915047,0.014790199988055974
CHALLENGER,5,4col,Exponential,SVC,KR_6720411617,0.010576100030448288
CHALLENGER,5,4col,Exponential,SVC,KR_6720369775,0.01080519997049123
CHALLENGER,5,4col,Exponential,SVC,KR_6720275332,0.010928899981081486
CHALLENGER,5,4col,Exponential,SVC,KR_6720216348,0.010121900006197393
CHALLENGER,5,4col,Exponential,SVC,KR_6719124350,0.011692299973219633
CHALLENGER,5,4col,Exponential,SVC,KR_6719076193,0.010674199962522835
CHALLENGER,5,4col,Exponential,SVC,KR_6719025407,0.01016970002092421
CHALLENGER,5,4col,Exponential,SVC,KR_6718989642,0.010482200013939291
CHALLENGER,5,4col,Exponential,SVC,KR_6718952462,0.01007040002150461
CHALLENGER,5,4col,Exponential,SVC,KR_6718915047,0.01006000000052154
CHALLENGER,5,4col,Exponential,XGB,KR_6720411617,0.006392200011759996
CHALLENGER,5,4col,Exponential,XGB,KR_6720369775,0.01039640000090003
CHALLENGER,5,4col,Exponential,XGB,KR_6720275332,0.005877200048416853
CHALLENGER,5,4col,Exponential,XGB,KR_6720216348,0.0058791000046767294
CHALLENGER,5,4col,Exponential,XGB,KR_6719124350,0.006181499978993088
CHALLENGER,5,4col,Exponential,XGB,KR_6719076193,0.005995900020934641
CHALLENGER,5,4col,Exponential,XGB,KR_6719025407,0.010222500015515834
CHALLENGER,5,4col,Exponential,XGB,KR_6718989642,0.006117599958088249
CHALLENGER,5,4col,Exponential,XGB,KR_6718952462,0.010506499966140836
CHALLENGER,5,4col,Exponential,XGB,KR_6718915047,0.01024229999165982
CHALLENGER,5,4col,Mixed,knn,KR_6720411617,0.0065454000141471624
CHALLENGER,5,4col,Mixed,knn,KR_6720369775,0.003230899979826063
CHALLENGER,5,4col,Mixed,knn,KR_6720275332,0.006891299970448017
CHALLENGER,5,4col,Mixed,knn,KR_6720216348,0.005796400015242398
CHALLENGER,5,4col,Mixed,knn,KR_6719124350,0.005807700043078512
CHALLENGER,5,4col,Mixed,knn,KR_6719076193,0.0033120999578386545
CHALLENGER,5,4col,Mixed,knn,KR_6719025407,0.005782500025816262
CHALLENGER,5,4col,Mixed,knn,KR_6718989642,0.0057684999774210155
CHALLENGER,5,4col,Mixed,knn,KR_6718952462,0.003562199999578297
CHALLENGER,5,4col,Mixed,knn,KR_6718915047,0.005799099977593869
CHALLENGER,5,4col,Mixed,LR,KR_6720411617,0.005084499949589372
CHALLENGER,5,4col,Mixed,LR,KR_6720369775,0.005208999966271222
CHALLENGER,5,4col,Mixed,LR,KR_6720275332,0.004982199985533953
CHALLENGER,5,4col,Mixed,LR,KR_6720216348,0.005029099993407726
CHALLENGER,5,4col,Mixed,LR,KR_6719124350,0.004997299984097481
CHALLENGER,5,4col,Mixed,LR,KR_6719076193,0.004973099974449724
CHALLENGER,5,4col,Mixed,LR,KR_6719025407,0.004987700027413666
CHALLENGER,5,4col,Mixed,LR,KR_6718989642,0.005016100010834634
CHALLENGER,5,4col,Mixed,LR,KR_6718952462,0.0051036999793723226
CHALLENGER,5,4col,Mixed,LR,KR_6718915047,0.004937699995934963
CHALLENGER,5,4col,Mixed,RF,KR_6720411617,0.014961400011088699
CHALLENGER,5,4col,Mixed,RF,KR_6720369775,0.014974099991377443
CHALLENGER,5,4col,Mixed,RF,KR_6720275332,0.014970900025218725
CHALLENGER,5,4col,Mixed,RF,KR_6720216348,0.015314300020691007
CHALLENGER,5,4col,Mixed,RF,KR_6719124350,0.014951699995435774
CHALLENGER,5,4col,Mixed,RF,KR_6719076193,0.015126299986150116
CHALLENGER,5,4col,Mixed,RF,KR_6719025407,0.01495969999814406
CHALLENGER,5,4col,Mixed,RF,KR_6718989642,0.014862800016999245
CHALLENGER,5,4col,Mixed,RF,KR_6718952462,0.015000500017777085
CHALLENGER,5,4col,Mixed,RF,KR_6718915047,0.014769600005820394
CHALLENGER,5,4col,Mixed,SVC,KR_6720411617,0.005444299953524023
CHALLENGER,5,4col,Mixed,SVC,KR_6720369775,0.005666499957442284
CHALLENGER,5,4col,Mixed,SVC,KR_6720275332,0.005392700026277453
CHALLENGER,5,4col,Mixed,SVC,KR_6720216348,0.005350499995984137
CHALLENGER,5,4col,Mixed,SVC,KR_6719124350,0.005389800004195422
CHALLENGER,5,4col,Mixed,SVC,KR_6719076193,0.005374400003347546
CHALLENGER,5,4col,Mixed,SVC,KR_6719025407,0.005371699982788414
CHALLENGER,5,4col,Mixed,SVC,KR_6718989642,0.005372099985834211
CHALLENGER,5,4col,Mixed,SVC,KR_6718952462,0.005399299960117787
CHALLENGER,5,4col,Mixed,SVC,KR_6718915047,0.005398400011472404
CHALLENGER,5,4col,Mixed,XGB,KR_6720411617,0.0034427999635227025
CHALLENGER,5,4col,Mixed,XGB,KR_6720369775,0.0031420000013895333
CHALLENGER,5,4col,Mixed,XGB,KR_6720275332,0.005564200051594526
