CrossValMeans,CrossValerrors,Accuracy,Recall,Precision,F1 Score,Algorithm,tier,data_type,time_len,col,scaler
0.5684375,0.009343697742328771,0.56375,0.5647668393782384,0.5463659147869674,0.5554140127388534,knn,CHALLENGER,mean,5,4col,SS
0.5903125,0.011099250396986275,0.57625,0.5893782383419689,0.5575980392156863,0.5730478589420656,knn,CHALLENGER,mean,5,4col,RT
0.54796875,0.017013321986020256,0.5425,0.5738341968911918,0.5236406619385343,0.5475896168108777,knn,CHALLENGER,mean,5,ALL,SS
0.52875,0.010601997158554616,0.516875,0.5129533678756477,0.49936948297604034,0.5060702875399362,knn,CHALLENGER,mean,5,ALL,RT
0.5974999999999999,0.008259109554001573,0.596875,0.6010362694300518,0.5792759051186017,0.5899554990464081,LR,CHALLENGER,mean,5,4col,SS
0.6254687499999999,0.010000000000000004,0.594375,0.6191709844559585,0.5738295318127251,0.5956386292834891,LR,CHALLENGER,mean,5,4col,RT
0.6035937500000002,0.0029892385108920365,0.604375,0.6152849740932642,0.5856966707768188,0.6001263423878711,LR,CHALLENGER,mean,5,ALL,SS
0.63125,0.011566722202076085,0.596875,0.6256476683937824,0.5756853396901073,0.5996275605214153,LR,CHALLENGER,mean,5,ALL,RT
0.5909375000000001,0.00786854894500885,0.595625,0.6567357512953368,0.5703037120359955,0.6104756170981336,RF,CHALLENGER,mean,5,4col,SS
0.6204687499999999,0.00849229890106323,0.595625,0.633419689119171,0.5732708089097304,0.6018461538461539,RF,CHALLENGER,mean,5,4col,RT
0.59328125,0.009664791933870074,0.58125,0.6502590673575129,0.5565410199556541,0.5997610513739546,RF,CHALLENGER,mean,5,ALL,SS
0.6199999999999999,0.013134297302292191,0.599375,0.6502590673575129,0.5750286368843069,0.6103343465045593,RF,CHALLENGER,mean,5,ALL,RT
0.59765625,0.008370684522486804,0.598125,0.633419689119171,0.5759717314487632,0.6033312769895126,SVC,CHALLENGER,mean,5,4col,SS
0.62421875,0.011321388082960508,0.594375,0.6178756476683938,0.5740072202166066,0.5951341235184029,SVC,CHALLENGER,mean,5,4col,RT
0.595,0.007551903733496609,0.571875,0.6088082901554405,0.5509964830011723,0.5784615384615385,SVC,CHALLENGER,mean,5,ALL,SS
0.6209374999999999,0.008288617006171771,0.59125,0.6126943005181347,0.571256038647343,0.5912499999999998,SVC,CHALLENGER,mean,5,ALL,RT
0.590625,0.011299802957352839,0.589375,0.6101036269430051,0.5695284159613059,0.5891181988742964,XGB,CHALLENGER,mean,5,4col,SS
0.615625,0.011868830634270591,0.606875,0.6321243523316062,0.5858343337334934,0.6080996884735201,XGB,CHALLENGER,mean,5,4col,RT
0.5915625,0.0034728298079519985,0.581875,0.6204663212435233,0.560233918128655,0.5888137676705593,XGB,CHALLENGER,mean,5,ALL,SS
0.6153125000000002,0.011186888949792985,0.601875,0.6295336787564767,0.5806451612903226,0.6041019266625234,XGB,CHALLENGER,mean,5,ALL,RT
0.6165625,0.009275513799784883,0.626875,0.6541450777202072,0.6047904191616766,0.6285003111387679,knn,CHALLENGER,mean,10,4col,SS
0.6543750000000002,0.01013338772943186,0.66125,0.6709844559585493,0.6426799007444168,0.6565272496831434,knn,CHALLENGER,mean,10,4col,RT
0.63109375,0.009862333648787195,0.628125,0.6437823834196891,0.6083231334149327,0.6255506607929515,knn,CHALLENGER,mean,10,ALL,SS
0.58859375,0.012699578610135051,0.565,0.5621761658031088,0.547979797979798,0.5549872122762148,knn,CHALLENGER,mean,10,ALL,RT
0.65375,0.011954912039617854,0.65125,0.6826424870466321,0.6273809523809524,0.6538461538461539,LR,CHALLENGER,mean,10,4col,SS
0.688125,0.00791186806323263,0.693125,0.716321243523316,0.6703030303030303,0.6925485284909204,LR,CHALLENGER,mean,10,4col,RT
0.6718749999999999,0.01293198856034909,0.668125,0.6878238341968912,0.6467722289890377,0.6666666666666667,LR,CHALLENGER,mean,10,ALL,SS
0.69359375,0.010590477001769091,0.698125,0.7124352331606217,0.6781750924784217,0.6948831332912192,LR,CHALLENGER,mean,10,ALL,RT
0.650625,0.00869120874073337,0.65125,0.6917098445595855,0.6252927400468384,0.6568265682656826,RF,CHALLENGER,mean,10,4col,SS
0.6915625,0.00973777278180179,0.6875,0.7046632124352331,0.6666666666666666,0.6851385390428211,RF,CHALLENGER,mean,10,4col,RT
0.65875,0.011390185605379733,0.664375,0.7007772020725389,0.6387249114521841,0.6683137739345275,RF,CHALLENGER,mean,10,ALL,SS
0.6896875,0.012036321982856734,0.686875,0.7072538860103627,0.6650426309378806,0.6854990583804143,RF,CHALLENGER,mean,10,ALL,RT
0.6520312500000001,0.011143155831047144,0.6525,0.6994818652849741,0.625,0.6601466992665036,SVC,CHALLENGER,mean,10,4col,SS
0.68921875,0.008391075988810965,0.69875,0.7202072538860104,0.6763990267639902,0.6976160602258469,SVC,CHALLENGER,mean,10,4col,RT
0.66046875,0.007868548945008843,0.6525,0.6722797927461139,0.6313868613138686,0.6511919698870765,SVC,CHALLENGER,mean,10,ALL,SS
0.6868749999999999,0.00910281978976845,0.690625,0.7007772020725389,0.6720496894409937,0.6861128725428028,SVC,CHALLENGER,mean,10,ALL,RT
0.6520312500000001,0.006713297205918994,0.66125,0.6994818652849741,0.6352941176470588,0.6658446362515413,XGB,CHALLENGER,mean,10,4col,SS
0.6801562499999999,0.010832081257773163,0.6925,0.7085492227979274,0.671990171990172,0.6897856242118537,XGB,CHALLENGER,mean,10,4col,RT
0.67015625,0.011008696846130346,0.654375,0.6722797927461139,0.6336996336996337,0.6524198617221872,XGB,CHALLENGER,mean,10,ALL,SS
0.6878125,0.010650245742469994,0.695625,0.7227979274611399,0.6714801444043321,0.6961946350592638,XGB,CHALLENGER,mean,10,ALL,RT
