time_len,,mean,weightedmean,point,timeseries,lanchester
5,Average Accuracy,0.5983125,0.58934375,0.6090312499999999,0.5986458333333333,0.676675
5,Best Accuracy,0.62125,0.611875,0.62375,0.619375,0.808125
5,Best Model,LR,RF,LR,CNN_LSTM,XGB
10,Average Accuracy,0.67040625,0.6551250000000001,0.6918124999999999,0.6709375,0.8454916666666666
10,Best Accuracy,0.703125,0.69125,0.72375,0.6975,0.9675
10,Best Model,LR,SVC,LR,CNN_LSTM,XGB
15,Average Accuracy,0.7335,0.73828125,0.75265625,0.7330208333333333,0.8988416666666665
15,Best Accuracy,0.766875,0.76875,0.78375,0.775625,0.99625
15,Best Model,LR,SVC,LR,CNN_LSTM,SVC
20,Average Accuracy,0.7595864661654136,0.7595238095238095,0.7924498746867168,0.7601294903926483,0.9222639933166249
20,Best Accuracy,0.8007518796992481,0.8026315789473685,0.818922305764411,0.8107769423558897,0.9981203007518796
20,Best Model,LR,LR,SVC,LSTM,LR
25,Average Accuracy,0.7672950819672131,0.7919672131147542,0.8004918032786886,0.7799180327868852,0.927464480874317
25,Best Accuracy,0.8040983606557377,0.8229508196721311,0.8262295081967214,0.8352459016393443,0.9991803278688524
25,Best Model,LR,LR,LR,RNN,LR
30,Average Accuracy,0.6982496194824962,0.7123287671232876,0.7538812785388128,0.7222222222222222,0.9295383054287163
30,Best Accuracy,0.7519025875190258,0.771689497716895,0.806697108066971,0.7777777777777778,0.9984779299847792
30,Best Model,LR,LR,LR,RNN,knn
