lan_type,model_name,training_time
Exponential,LR,0.004016102433262809
Exponential,RF,0.011176977333263444
Exponential,SVC,0.004205305133208893
Exponential,XGB,0.004118685000013355
Exponential,knn,0.004868846600448353
Linear,LR,0.0014169032327481055
Linear,RF,0.00865467253306022
Linear,SVC,0.001580163599981411
Linear,XGB,0.001688365633812837
Linear,knn,0.0022957457001902596
Mixed,LR,0.0020775530992346945
Mixed,RF,0.008795268966447669
Mixed,SVC,0.002262885033172351
Mixed,XGB,0.002297583633199438
Mixed,knn,0.0033072415993858867
