tier,time_len,col,lan_type,model_name,match_id,training_time
DIAMOND,25,4col,Exponential,RF,KR_6713438037,0.0194229999906383
EMERALD,15,4col,Exponential,RF,KR_6706440997,0.0194208000320941
EMERALD,5,4col,Exponential,RF,KR_6688779490,0.0194204000290483
GOLD,5,4col,Exponential,RF,KR_6716122402,0.0194198999670334
SILVER,20,4col,Exponential,RF,KR_6722571790,0.019417000003159
SILVER,20,4col,Exponential,RF,KR_6722329158,0.01941499998793
GOLD,5,4col,Exponential,RF,KR_6685691130,0.0194134999765083
GOLD,25,4col,Exponential,RF,KR_6722864607,0.0194126000278629
MASTER,5,4col,Exponential,RF,KR_6719362239,0.0194120000232942
IRON,5,4col,Exponential,RF,KR_6706218048,0.0194100000080652
GRANDMASTER,10,4col,Exponential,RF,KR_6720006844,0.0194084999966435
IRON,15,4col,Exponential,RF,KR_6692638149,0.0194084999966435
GOLD,20,4col,Exponential,RF,KR_6722864607,0.0194017000030726
BRONZE,20,4col,Exponential,RF,KR_6719801174,0.0193995999870821
EMERALD,5,4col,Exponential,RF,KR_6716865681,0.0193919999874196
GRANDMASTER,15,4col,Exponential,RF,KR_6720045022,0.0193909999798052
IRON,5,4col,Exponential,RF,KR_6628785661,0.0193903999752365
GOLD,5,4col,Exponential,RF,KR_6653234423,0.0193903000326827
IRON,30,4col,Exponential,RF,KR_6718588302,0.0193873000098392
BRONZE,5,4col,Exponential,RF,KR_6719801174,0.019386600004509
MASTER,5,4col,Exponential,RF,KR_6719639076,0.0193862000014632
BRONZE,10,4col,Exponential,RF,KR_6623220455,0.0193786000018008
GOLD,10,4col,Exponential,RF,KR_6653234423,0.0193728000158444
DIAMOND,15,4col,Exponential,RF,KR_6697626991,0.0193676000344567
IRON,15,4col,Exponential,RF,KR_6704855811,0.019363900006283
BRONZE,15,4col,Exponential,RF,KR_6718308708,0.0193635000032372
DIAMOND,25,4col,Exponential,RF,KR_6689153168,0.0193634000024758
IRON,5,4col,Exponential,RF,KR_6617405224,0.0193596000317484
SILVER,20,4col,Exponential,RF,KR_6672584601,0.0193547999951988
PLATINUM,5,4col,Exponential,RF,KR_6720945585,0.019354399992153
GRANDMASTER,10,4col,Exponential,RF,KR_6720191687,0.0193492999533191
EMERALD,15,4col,Exponential,RF,KR_6633976812,0.0193489999510347
PLATINUM,25,4col,Exponential,RF,KR_6714893677,0.0193486000061966
BRONZE,5,4col,Exponential,RF,KR_6643461539,0.0193485000054352
GOLD,25,4col,Exponential,RF,KR_6713953115,0.0193453999818302
DIAMOND,15,4col,Exponential,RF,KR_6689153168,0.0193442000309005
GOLD,10,4col,Exponential,RF,KR_6685691130,0.0193417000118643
DIAMOND,25,4col,Exponential,RF,KR_6720398487,0.0193413000088185
PLATINUM,5,4col,Exponential,RF,KR_6714668974,0.019340300001204
GRANDMASTER,10,4col,Exponential,RF,KR_6720045022,0.0193365999730303
IRON,10,4col,Exponential,RF,KR_6718588302,0.0193361999699845
BRONZE,5,4col,Exponential,RF,KR_6698859172,0.0193350000190548
GOLD,10,4col,Exponential,RF,KR_6713953115,0.019329699978698
SILVER,5,4col,Exponential,RF,KR_6722700025,0.0193285000277683
BRONZE,15,4col,Exponential,RF,KR_6643461539,0.0193249000003561
