tier,TA(%) 5mins,TA(%) 10mins
IR,0.6737333333333333,0.8551666666666667
BR,0.6755333333333333,0.8532666666666666
SV,0.6682416666666666,0.8495833333333334
GD,0.677825,0.8451166666666666
PT,0.676675,0.8454916666666666
EM,0.6789416666666667,0.8470416666666667
DM,0.6740083333333333,0.8474916666666666
MS,0.67555,0.8535333333333334
GM,0.6671166666666667,0.8418083333333333
CH,0.6696833333333333,0.8483583333333333
ALL,0.6655666666666666,0.8470333333333333
